Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
inquirer,https://github.com/SBoudrias/Inquirer.js,15096,1019,151,FALSE,0.93,3,27940,444,4,0,14,MIT,1053,204,0
ember-disable-prototype-extensions,https://github.com/ember-cli/ember-disable-prototype-extensions,6,6,6,FALSE,,3,4,0,3,0,0,MIT,259,21,0
eslint-plugin-jsx-a11y,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y,2571,530,41,FALSE,0.99,1,6877,22,4,0,12,MIT,825,83,0
pre-commit,https://github.com/observing/pre-commit,1837,166,17,FALSE,0.95,0,203,91,3,0,3,MIT,154,67,0
nock,https://github.com/nock/nock,11063,748,93,FALSE,1,2,482,195,4,0,4,MIT,2245,39,0
xo,https://github.com/xojs/xo,6229,318,60,FALSE,1,2,62,35,1,0,36,MIT,636,97,0
mongodb,https://github.com/mongodb/node-mongodb-native,9243,1681,266,FALSE,0.89,2,6689,423,5,0,4,Apache-2.0,2257,10,0
js-yaml,https://github.com/nodeca/js-yaml,5279,711,81,FALSE,,2,11070,120,1,3,1,MIT,643,34,0
marked,https://github.com/markedjs/marked,26464,26464,3097,FALSE,,2,5425,231,4,0,0,MIT,,46,0
gulp-load-plugins,https://github.com/jackfranklin/gulp-load-plugins,761,58,16,FALSE,,2,893,223,2,17,7,MIT,141,1,0
extend,https://github.com/justmoon/node-extend,333,64,14,FALSE,,2,3890,52,2,1,0,MIT,57,0,0
json-loader,https://github.com/webpack/json-loader,431,80,17,FALSE,,0,1660,25,7,0,0,MIT,66,7,0
connect,https://github.com/senchalabs/connect,9316,1137,316,FALSE,1,2,2228,246,2,3,4,MIT,1128,2,0
karma-webpack,https://github.com/webpack-contrib/karma-webpack,820,220,23,FALSE,0.42,3,341,13,4,0,3,MIT,516,37,0
classnames,https://github.com/JedWatson/classnames,14480,505,134,FALSE,,1,21040,226,2,0,0,MIT,262,11,0
grunt-contrib-coffee,https://github.com/gruntjs/grunt-contrib-coffee,331,127,12,FALSE,,1,133,16,6,10,4,MIT,185,9,0
xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,4393,4393,524,FALSE,0.98,0,5995,277,1,45,2,MIT,,220,0
